"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"136",279,279,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"137",289,289,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",0
"138",292,292,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",0
"139",293,293,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",0
"140",294,294,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"141",296,296,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"142",298,298,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,0
"143",299,299,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"144",301,301,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"145",303,303,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"146",304,304,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"147",305,305,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"148",308,308,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"149",309,309,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"150",311,311,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"151",312,312,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"152",313,313,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,0
"153",314,314,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,0
"154",315,315,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",0
"155",318,318,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"156",323,323,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"157",324,324,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"158",326,326,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"159",329,329,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",0
"160",330,330,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"161",333,333,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"162",334,334,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"163",336,336,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"164",338,338,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"165",340,340,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,0
"166",341,341,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,0
"167",344,344,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,0
"168",354,354,406,94102,NA,1,1,676,"Apt","Apartment","In Unit",NA,NA,"No",NA,0
"169",355,355,405,94102,4700,1,1,830,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA,0
"170",360,360,401,94109,2295,7,1,NA,"Apt","Multi Family","Shared","Baseboard","None","Yes","Both",0
"171",361,361,400,94115,5495,2,2,1550,"Apt","Multi Family","Shared","Radiant",NA,"Yes","Garage",0
"172",362,362,399,94112,3000,2,1,940,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA,0
